Path:HepData/ggFttH_VBFVH_lvlv
profiled Likelihood
x: #mu^{f}_{ggF+ttH}
y: #mu^{f}_{VBF+VH}
z: -2 ln (#Lambda)
x	y	z	
1.02500000e+00	-2.96000000e-01	8.86161600e+00	
1.07500000e+00	-2.96000000e-01	8.84956560e+00	
1.12500000e+00	-2.96000000e-01	8.89309360e+00	
1.17500000e+00	-2.96000000e-01	8.92352860e+00	
1.22500000e+00	-2.96000000e-01	9.00642800e+00	
1.27500000e+00	-2.96000000e-01	9.11786440e+00	
1.32500000e+00	-2.96000000e-01	9.25603220e+00	
1.37500000e+00	-2.96000000e-01	9.44153700e+00	
1.42500000e+00	-2.96000000e-01	9.60814980e+00	
1.47500000e+00	-2.96000000e-01	9.82151020e+00	
1.52500000e+00	-2.96000000e-01	1.00520394e+01	
1.57500000e+00	-2.96000000e-01	1.03115394e+01	
1.62500000e+00	-2.96000000e-01	1.05825112e+01	
1.67500000e+00	-2.96000000e-01	1.08915220e+01	
1.72500000e+00	-2.96000000e-01	1.11880780e+01	
1.77500000e+00	-2.96000000e-01	1.15217346e+01	
1.82500000e+00	-2.96000000e-01	1.18588588e+01	
1.87500000e+00	-2.96000000e-01	1.22079854e+01	
1.92500000e+00	-2.96000000e-01	1.25864120e+01	
1.97500000e+00	-2.96000000e-01	1.29832312e+01	
2.02500000e+00	-2.96000000e-01	1.33653140e+01	
2.07500000e+00	-2.96000000e-01	1.37778320e+01	
2.12500000e+00	-2.96000000e-01	1.41930394e+01	
2.17500000e+00	-2.96000000e-01	1.46158048e+01	
2.22500000e+00	-2.96000000e-01	1.50569566e+01	
2.27500000e+00	-2.96000000e-01	1.55240270e+01	
-1.75000000e-01	-1.84000000e-01	2.10051608e+01	
-1.25000000e-01	-1.84000000e-01	1.99398172e+01	
-7.50000000e-02	-1.84000000e-01	1.89039772e+01	
-2.50000000e-02	-1.84000000e-01	1.79059800e+01	
2.50000000e-02	-1.84000000e-01	1.69464498e+01	
7.50000000e-02	-1.84000000e-01	1.60277672e+01	
1.25000000e-01	-1.84000000e-01	1.51536846e+01	
1.75000000e-01	-1.84000000e-01	1.43216366e+01	
2.25000000e-01	-1.84000000e-01	1.35382980e+01	
2.75000000e-01	-1.84000000e-01	1.28036458e+01	
3.25000000e-01	-1.84000000e-01	1.21191070e+01	
3.75000000e-01	-1.84000000e-01	1.15145414e+01	
4.25000000e-01	-1.84000000e-01	1.09039506e+01	
4.75000000e-01	-1.84000000e-01	1.03736924e+01	
5.25000000e-01	-1.84000000e-01	9.89485740e+00	
5.75000000e-01	-1.84000000e-01	9.46714160e+00	
6.25000000e-01	-1.84000000e-01	9.10183940e+00	
6.75000000e-01	-1.84000000e-01	8.76123020e+00	
7.25000000e-01	-1.84000000e-01	8.48069860e+00	
7.75000000e-01	-1.84000000e-01	8.24608080e+00	
8.25000000e-01	-1.84000000e-01	8.07550440e+00	
8.75000000e-01	-1.84000000e-01	7.93667040e+00	
9.25000000e-01	-1.84000000e-01	7.80306640e+00	
9.75000000e-01	-1.84000000e-01	7.73888100e+00	
1.02500000e+00	-1.84000000e-01	7.73052500e+00	
1.07500000e+00	-1.84000000e-01	7.73635280e+00	
1.12500000e+00	-1.84000000e-01	7.76726220e+00	
1.17500000e+00	-1.84000000e-01	7.84554520e+00	
1.22500000e+00	-1.84000000e-01	7.94645260e+00	
1.27500000e+00	-1.84000000e-01	8.07594060e+00	
1.32500000e+00	-1.84000000e-01	8.23203360e+00	
1.37500000e+00	-1.84000000e-01	8.40977840e+00	
1.42500000e+00	-1.84000000e-01	8.62100480e+00	
1.47500000e+00	-1.84000000e-01	8.83388440e+00	
1.52500000e+00	-1.84000000e-01	9.10171740e+00	
1.57500000e+00	-1.84000000e-01	9.37198500e+00	
1.62500000e+00	-1.84000000e-01	9.67520340e+00	
1.67500000e+00	-1.84000000e-01	9.97532920e+00	
1.72500000e+00	-1.84000000e-01	1.02944924e+01	
1.77500000e+00	-1.84000000e-01	1.06444924e+01	
1.82500000e+00	-1.84000000e-01	1.10012896e+01	
1.87500000e+00	-1.84000000e-01	1.13907138e+01	
1.92500000e+00	-1.84000000e-01	1.17665050e+01	
1.97500000e+00	-1.84000000e-01	1.21783364e+01	
2.02500000e+00	-1.84000000e-01	1.25805456e+01	
2.07500000e+00	-1.84000000e-01	1.30106594e+01	
2.12500000e+00	-1.84000000e-01	1.34463570e+01	
2.17500000e+00	-1.84000000e-01	1.38884902e+01	
2.22500000e+00	-1.84000000e-01	1.43472760e+01	
2.27500000e+00	-1.84000000e-01	1.48301608e+01	
-1.75000000e-01	-7.20000000e-02	1.96431468e+01	
-1.25000000e-01	-7.20000000e-02	1.85980626e+01	
-7.50000000e-02	-7.20000000e-02	1.75588812e+01	
-2.50000000e-02	-7.20000000e-02	1.65702128e+01	
2.50000000e-02	-7.20000000e-02	1.56200294e+01	
7.50000000e-02	-7.20000000e-02	1.47111836e+01	
1.25000000e-01	-7.20000000e-02	1.38529676e+01	
1.75000000e-01	-7.20000000e-02	1.30263370e+01	
2.25000000e-01	-7.20000000e-02	1.22543734e+01	
2.75000000e-01	-7.20000000e-02	1.15316768e+01	
3.25000000e-01	-7.20000000e-02	1.08594790e+01	
3.75000000e-01	-7.20000000e-02	1.02405950e+01	
4.25000000e-01	-7.20000000e-02	9.67153760e+00	
4.75000000e-01	-7.20000000e-02	9.15515080e+00	
5.25000000e-01	-7.20000000e-02	8.69075300e+00	
5.75000000e-01	-7.20000000e-02	8.27777900e+00	
6.25000000e-01	-7.20000000e-02	7.90403380e+00	
6.75000000e-01	-7.20000000e-02	7.60252500e+00	
7.25000000e-01	-7.20000000e-02	7.33785840e+00	
7.75000000e-01	-7.20000000e-02	7.11921580e+00	
8.25000000e-01	-7.20000000e-02	6.94043040e+00	
8.75000000e-01	-7.20000000e-02	6.81702920e+00	
9.25000000e-01	-7.20000000e-02	6.72534760e+00	
9.75000000e-01	-7.20000000e-02	6.67919320e+00	
1.02500000e+00	-7.20000000e-02	6.66290100e+00	
1.07500000e+00	-7.20000000e-02	6.68626280e+00	
1.12500000e+00	-7.20000000e-02	6.73707640e+00	
1.17500000e+00	-7.20000000e-02	6.83126740e+00	
1.22500000e+00	-7.20000000e-02	6.95013900e+00	
1.27500000e+00	-7.20000000e-02	7.09764280e+00	
1.32500000e+00	-7.20000000e-02	7.27191260e+00	
1.37500000e+00	-7.20000000e-02	7.46850240e+00	
1.42500000e+00	-7.20000000e-02	7.69695440e+00	
1.47500000e+00	-7.20000000e-02	7.95227800e+00	
1.52500000e+00	-7.20000000e-02	8.21380800e+00	
1.57500000e+00	-7.20000000e-02	8.50212020e+00	
