Path:HepData/ggFttH_VBFVH_2ph
profiled Likelihood
x: #mu^{f}_{ggF+ttH}
y: #mu^{f}_{VBF+VH}
z: -2 ln (#Lambda)
x	y	z	
2.92200000e+00	-2.50000000e-01	1.20010100e+01	
2.97400000e+00	-2.50000000e-01	1.23689600e+01	
4.26000000e-01	-1.50000000e-01	3.65521060e+01	
4.78000000e-01	-1.50000000e-01	3.41964500e+01	
5.30000000e-01	-1.50000000e-01	3.18931340e+01	
5.82000000e-01	-1.50000000e-01	2.96721100e+01	
6.34000000e-01	-1.50000000e-01	2.75476140e+01	
6.86000000e-01	-1.50000000e-01	2.55399900e+01	
7.38000000e-01	-1.50000000e-01	2.36572140e+01	
7.90000000e-01	-1.50000000e-01	2.19027500e+01	
8.42000000e-01	-1.50000000e-01	2.02793900e+01	
8.94000000e-01	-1.50000000e-01	1.87843020e+01	
9.46000000e-01	-1.50000000e-01	1.74135400e+01	
9.98000000e-01	-1.50000000e-01	1.61595900e+01	
1.05000000e+00	-1.50000000e-01	1.50175180e+01	
1.10200000e+00	-1.50000000e-01	1.39823320e+01	
1.15400000e+00	-1.50000000e-01	1.30471180e+01	
1.20600000e+00	-1.50000000e-01	1.22056480e+01	
1.25800000e+00	-1.50000000e-01	1.14498240e+01	
1.31000000e+00	-1.50000000e-01	1.07775500e+01	
1.36200000e+00	-1.50000000e-01	1.01824940e+01	
1.41400000e+00	-1.50000000e-01	9.65730600e+00	
1.46600000e+00	-1.50000000e-01	9.19931600e+00	
1.51800000e+00	-1.50000000e-01	8.80250400e+00	
1.57000000e+00	-1.50000000e-01	8.46336000e+00	
1.62200000e+00	-1.50000000e-01	8.18286600e+00	
1.67400000e+00	-1.50000000e-01	7.95070800e+00	
1.72600000e+00	-1.50000000e-01	7.76437800e+00	
1.77800000e+00	-1.50000000e-01	7.62175000e+00	
1.83000000e+00	-1.50000000e-01	7.52039400e+00	
1.88200000e+00	-1.50000000e-01	7.45797600e+00	
1.93400000e+00	-1.50000000e-01	7.43331600e+00	
1.98600000e+00	-1.50000000e-01	7.44027600e+00	
2.03800000e+00	-1.50000000e-01	7.47680200e+00	
2.09000000e+00	-1.50000000e-01	7.54350200e+00	
2.14200000e+00	-1.50000000e-01	7.63872200e+00	
2.19400000e+00	-1.50000000e-01	7.76081000e+00	
2.24600000e+00	-1.50000000e-01	7.90728400e+00	
2.29800000e+00	-1.50000000e-01	8.07623400e+00	
2.35000000e+00	-1.50000000e-01	8.26721200e+00	
2.40200000e+00	-1.50000000e-01	8.48009400e+00	
2.45400000e+00	-1.50000000e-01	8.71252000e+00	
2.50600000e+00	-1.50000000e-01	8.96389400e+00	
2.55800000e+00	-1.50000000e-01	9.23246200e+00	
2.61000000e+00	-1.50000000e-01	9.51802200e+00	
2.66200000e+00	-1.50000000e-01	9.82098000e+00	
2.71400000e+00	-1.50000000e-01	1.01384600e+01	
2.76600000e+00	-1.50000000e-01	1.04702820e+01	
2.81800000e+00	-1.50000000e-01	1.08144720e+01	
2.87000000e+00	-1.50000000e-01	1.11717260e+01	
2.92200000e+00	-1.50000000e-01	1.15424180e+01	
2.97400000e+00	-1.50000000e-01	1.19235700e+01	
4.26000000e-01	-5.00000000e-02	3.41259180e+01	
4.78000000e-01	-5.00000000e-02	3.18403840e+01	
5.30000000e-01	-5.00000000e-02	2.96208120e+01	
5.82000000e-01	-5.00000000e-02	2.74944860e+01	
6.34000000e-01	-5.00000000e-02	2.54705980e+01	
6.86000000e-01	-5.00000000e-02	2.35624980e+01	
7.38000000e-01	-5.00000000e-02	2.17764220e+01	
7.90000000e-01	-5.00000000e-02	2.01127800e+01	
8.42000000e-01	-5.00000000e-02	1.85759360e+01	
8.94000000e-01	-5.00000000e-02	1.71614940e+01	
9.46000000e-01	-5.00000000e-02	1.58661780e+01	
9.98000000e-01	-5.00000000e-02	1.46822100e+01	
1.05000000e+00	-5.00000000e-02	1.36052940e+01	
1.10200000e+00	-5.00000000e-02	1.26297360e+01	
1.15400000e+00	-5.00000000e-02	1.17513760e+01	
1.20600000e+00	-5.00000000e-02	1.09631480e+01	
1.25800000e+00	-5.00000000e-02	1.02581840e+01	
1.31000000e+00	-5.00000000e-02	9.63155600e+00	
1.36200000e+00	-5.00000000e-02	9.08245800e+00	
1.41400000e+00	-5.00000000e-02	8.59663800e+00	
1.46600000e+00	-5.00000000e-02	8.17772800e+00	
1.51800000e+00	-5.00000000e-02	7.81775600e+00	
1.57000000e+00	-5.00000000e-02	7.51509200e+00	
1.62200000e+00	-5.00000000e-02	7.26641200e+00	
1.67400000e+00	-5.00000000e-02	7.06523800e+00	
